Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
NDRG4,7.070933444,7.914654815,18.0850668,21.23480711,26.03674628
NDST1,54.66127368,61.78641989,51.77963722,55.62775024,36.02476026
NDST2,0.616937582,0.773094135,0.432829756,0.316725343,5.185795606
NDST3,0.08510052,0.04791737,0.080556294,0.081014499,4.884193858
NDUFA1,186.9456721,141.7049056,158.9897439,147.5212037,232.5769794
NDUFA10,38.26903174,32.89319517,28.62898481,27.467663,31.07050666
NDUFA11,8.44865666,9.401909968,7.189677331,5.140263781,15.40008884
NDUFA12,64.83366137,56.92029392,52.05037556,49.0125846,55.62775944
NDUFA13,6.415715133,6.740181864,3.143552504,1.631108058,6.872065
NDUFA2,99.31918186,79.25179692,73.71537287,66.65057286,94.08200818
NDUFA3,34.17189992,28.19021427,23.56087355,20.86457402,34.08078431
NDUFA4,155.2580254,111.9059277,114.9039159,118.2508872,113.7274669
NDUFA4L2,79.10309981,129.5418326,109.3940872,126.0935694,39.98654376
NDUFA5,20.85215197,17.54584847,19.33445596,20.55002778,20.91247451
NDUFA5P11,6.428296523,3.892466898,4.591395591,4.112868993,10.25805723
NDUFA6,151.3458807,118.1504145,123.1567373,119.92137,138.2753335
NDUFA7,1.738676836,1.965315016,1.201558432,0.898570931,6.166166668
NDUFA8,113.4295755,94.94424769,93.68022923,94.24216388,99.19228212
NDUFA9,2.911329608,2.72207538,2.341316919,2.166379002,7.592353538
NDUFAB1,92.85640332,74.58223869,67.34270248,64.80882931,72.43046359
NDUFAF1,25.21589369,19.45490827,17.4596933,17.34632968,20.45325574
NDUFAF2,48.35191391,33.84254483,36.5545144,34.77461572,47.54617551
NDUFAF3,42.70169241,42.6325278,40.6353529,43.22463349,41.19972172
NDUFAF4,14.87783775,11.82553479,12.51546577,13.58896411,16.09464546
NDUFAF5,5.498265401,5.080557449,5.09476789,4.642387294,10.56041301
NDUFAF6,5.687323973,5.055599025,4.474576889,4.104248603,8.80011903
NDUFAF7,13.72907923,11.31686051,12.19687473,12.36945821,15.16868147
NDUFAF8,62.24817012,52.9782167,55.90709121,47.05401907,86.77171503
NDUFB1,45.76247604,40.11260136,38.68354916,36.29362143,52.66739529
NDUFB10,143.087951,126.2133382,127.6263503,128.8950953,131.0294633
NDUFB11,130.4247433,115.2162717,105.4640293,97.60653413,120.5574174
NDUFB2,62.42640018,56.13355811,49.76267143,45.78135133,58.87610955
NDUFB3,118.5554386,78.1710478,73.65814548,72.36978214,84.60709636
NDUFB4,138.6966947,112.3403372,107.5220509,108.1223418,103.3506259
NDUFB4P11,0.11133765,0.125828773,0.228757761,0.242904599,5.094715635
NDUFB4P12,1.409473861,2.060502358,1.735365504,1.834449541,6.36845185
NDUFB5,34.4920687,27.10843709,24.8401081,25.76703948,26.30921097
NDUFB6,66.54507108,51.45587139,57.13193524,57.26396882,62.76557016
NDUFB7,384.4945126,349.9508577,401.1266713,378.14508,552.5397342
NDUFB8,14.83458709,13.14034503,9.2071002,7.261682381,13.81508489
NDUFB9,94.90548216,77.88745483,83.34483775,85.8027086,90.55775354
NDUFC1,51.1747843,50.06198044,46.51605404,46.10355609,50.76545408
NDUFC2,32.926848,20.60279704,13.96056268,13.87763654,17.15515294
NDUFS1,29.60001876,21.29404873,20.81650647,22.76688596,20.41192331
NDUFS2,74.27519024,66.06251387,51.97865699,49.74429674,49.66928965
NDUFS3,47.43779178,40.49706491,35.25140383,31.43483718,45.99716349
NDUFS4,124.3652252,94.81169462,93.9392719,94.02790305,93.17821237
NDUFS5,683.1743077,507.4735868,525.2040813,527.4903583,579.3061989
NDUFS6,86.74462525,73.80554901,75.84833095,73.19191765,97.87806531
NDUFS7,24.90734222,20.45342243,19.12576337,18.28224727,26.93069906
NDUFS8,38.16095979,32.60436032,31.31999297,30.23623699,40.09096041
NDUFV1,79.53676002,67.30308875,69.26494448,63.76919364,92.39930595
NDUFV2,3.348133714,3.590406295,1.428672249,0.913830161,5.643319143
NDUFV2P1,4.531926863,3.62881442,3.249359459,3.670215302,7.409734712
NDUFV3,14.75050531,12.61950708,11.7838308,11.51881284,16.31565342
NEAT1,110.0815622,105.5567535,68.49289944,48.71546827,104.9589522
NEB,6.729472575,0.714832908,0.741353321,0.56482549,5.543242155
NEBL,23.16894061,26.12445224,18.56194066,16.07595582,23.09786726
NECAB1,1.937842754,2.49598149,3.624239182,3.578028967,8.787321964
NECAB2,0.18104826,0.083020902,0.179990664,0.213852458,4.959318248
NECAB3,10.85555542,9.388532429,10.36184231,11.18541304,14.91639871
NECAP1,15.98956284,15.8789398,14.29490257,13.50488203,17.25885375
NECAP2,28.02858183,31.68578416,25.35680458,22.67426121,27.341566
NECTIN1,84.34761486,114.6856662,78.55734213,63.67888649,62.80117294
NECTIN2,48.97434934,47.27236552,37.83474389,38.00120188,34.26834253
NECTIN3,3.064944457,2.587526116,3.857321701,4.274811242,7.903261714
NECTIN4,88.17176502,118.0504211,82.56963017,66.12215709,79.46229068
NEDD1,13.76373123,12.13156484,13.52592789,14.1554837,14.937403
NEDD4,9.304698801,8.612191995,7.840073688,8.129132144,9.880066924
NEDD4L,4.202730283,4.61376586,5.236831591,7.405961191,6.087708027
NEDD8,22.00484786,25.71119222,18.69625621,14.92516641,25.59485338
NEDD9,10.40755336,8.765824805,11.45266032,14.39205235,10.83006534
NEFH,1.060121888,0.516461118,0.604381853,0.640902447,5.334234372
NEFL,0.272317834,0.559203124,4.569421354,6.47074639,5.64657997
NEFM,0.539705819,0.211986431,2.471288035,3.480779928,7.066026633
NEGR1,6.423422792,4.50183153,6.876923312,8.427250415,8.712442915
NEIL1,15.10722006,14.81971632,14.9163002,12.44252797,27.67060939
NEIL2,16.33636803,16.85092178,13.69904343,12.1065339,17.95087575
NEIL3,2.173354477,1.532425376,0.944264717,0.404605396,6.069553533
NEK1,5.145799589,3.955303089,4.979589327,5.728725642,8.381493758
NEK10,0.506237606,0.184687852,0.090963564,0.078495813,4.900216353
NEK11,4.217454886,4.190897221,3.980172584,4.120135876,7.464174192
NEK2,3.36124347,1.884975972,1.783195754,1.273612519,7.355666612
NEK3,6.211247141,5.759729624,6.61430307,6.455903132,11.15563206
NEK4,8.315507916,6.34813298,7.272747318,7.97770613,10.11195801
NEK5,0.315080308,0.238683046,0.283378578,0.286984318,5.125722903
NEK6,15.81033949,14.03039199,13.04217253,14.8839217,10.53601365
NEK7,39.24224126,35.18649335,40.39373689,43.57337439,36.96498886
NEK8,10.29018199,6.65245773,4.442763893,3.402007544,10.51124278
