Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
ACP2,16.58957467,16.08347535,16.83069623,16.33153393,15.93080402
ACP5,95.03969601,38.80811429,65.92876664,27.4822402,64.59785719
ACP6,11.85027545,5.016747304,3.635356637,2.438789411,4.163165032
ACP7,26.53342393,7.196842829,7.307354168,3.598497818,15.03460288
ACPP,37.50364039,29.80555396,22.28411167,8.922274178,40.25522657
ACR,0.461862711,0.746773258,0.734859771,1.125530804,0.134743638
ACRBP,0.850503126,0.869191578,0.934680205,0.784037805,1.185029243
ACRV1,0.133791567,0.144432907,0.061046401,0.119515777,0.053282186
ACSBG1,203.4222478,79.37629659,35.91149114,14.51827812,90.17314544
ACSF2,19.44486743,19.18266146,17.7974083,14.05238591,18.0032671
ACSF3,5.976475742,5.651435684,5.086636882,4.423348094,5.801225047
ACSL1,589.6756991,241.9920901,169.3333368,182.3613662,276.5307584
ACSL3,44.67200042,32.79413533,27.1224282,31.95482097,28.07165822
ACSL4,24.78686284,18.33685845,23.2390399,27.28131972,21.54596584
ACSL5,29.45584332,13.69139179,11.41288831,9.519970937,15.2528612
ACSL6,0.220203057,0.121320584,0.126051842,0.076816727,0.217855032
ACSM1,1.589912095,59.63968046,12.2684541,0.710192407,1.690274153
ACSM2A,0.014194636,0.025675124,0.027031126,0.020398368,0.014266055
ACSM2B,0.020771011,0.028335693,0.010940988,0.022240692,0.010227202
ACSM3,15.6973572,6.523579962,4.887372009,#N/A,8.075926123
ACSM5,2.369546046,1.714901851,2.040619648,2.665780199,0.601034074
ACSM6,38.57353175,8.848470888,4.931504588,2.113677866,22.2311514
ACSS1,11.33005265,11.29800524,10.18473865,6.341067869,8.63884733
ACSS2,107.4605383,56.39656075,35.39404706,28.83466372,71.16294251
ACSS3,6.318953276,2.689602985,2.966009782,3.933876141,3.058616066
ACTA1,230.4319519,11.53361682,5.834951312,16.36829622,5.281182947
ACTA2,123.3753386,300.5980538,279.7243276,603.0354969,370.2924696
ACTB,1650.026093,1685.521512,1766.834853,1805.462653,1803.972332
ACTBL2,5.788537755,0.094651534,0.461754189,0.009463977,0.599764244
ACTBP13,0.038773665,0.165243099,0.119325461,0.061194843,0
ACTBP2,0.79388103,0.922980346,0.713864938,1.155342718,1.392341965
ACTC1,5.588781567,4.67191693,2.721302628,8.147558684,16.0484847
ACTG1,1553.882297,1565.286168,1632.723985,1432.659061,1574.472854
ACTG1P1,1.002847973,0.652934597,0.694934424,0.570368203,0.792556722
ACTG1P10,1.664963305,1.365765461,1.676099045,2.071694531,0.85463795
ACTG1P14,0.085073281,0.025430429,0.075618798,0.091304978,0.068957957
ACTG1P17,0.362446845,0.278973236,0.251722384,0.26858262,0.183215419
ACTG1P20,1.252193186,1.216377594,1.008139181,1.020199147,0.631093196
ACTG1P3,0.275838729,0.252810868,0.200730291,0.366002692,0.032005449
ACTG2,22.42186698,51.23360204,37.87340611,138.9730408,139.7438848
ACTL10,2.941545283,2.683759275,2.51131035,2.367037763,4.366938106
ACTL6A,33.78037772,31.30091587,33.65936911,28.03507201,32.64546644
ACTL8,0.031795371,0.02132214,0.046951802,0,0.021076573
ACTN1,62.72133149,44.07332254,40.58395705,49.73903457,47.81908071
ACTN2,14.36426466,0.237076275,0.222857074,0.108518689,0.186772354
ACTN3,0.191988956,0.066932478,0.080531717,0.18038903,0.138882844
ACTN4,171.3723156,197.8632366,211.9711117,248.6944764,228.2432157
ACTR10,45.82603226,44.97156018,48.21227899,42.15280792,41.53388591
ACTR1A,66.45155859,65.38855716,65.85551587,58.72385553,68.16557741
ACTR1B,62.22601906,69.96805937,68.08756046,63.7449817,66.64894661
ACTR2,156.433082,131.4798305,149.8030799,125.3877014,162.500902
ACTR3,48.5418529,47.27392678,48.39291851,35.85045102,52.01020377
ACTR3B,4.871441161,4.61257638,4.74930643,6.388080611,4.062167426
ACTR3C,1.967586247,1.368541363,1.135995121,1.06025807,2.148946171
ACTR5,12.54393997,12.97328152,14.05123741,12.16051845,12.7828508
ACTR6,25.62234955,16.12842714,17.18271741,15.93735079,17.9019357
ACTR8,12.87198147,11.08857541,13.87534247,11.83118253,14.755855
ACTRT3,1.267439167,1.30626927,1.359711944,2.069086559,1.141154542
ACVR1,21.74609977,18.32179357,21.87502132,21.49904583,23.13879458
ACVR1B,34.51558147,41.63673897,44.24403101,34.89538011,32.25333412
ACVR1C,2.56087122,1.039160669,1.030741678,3.773431453,0.350533138
ACVR2A,15.00479021,18.46920853,18.23316575,10.18937014,17.33545999
ACVR2B,1.693557062,1.095609567,1.319877779,1.401585189,1.311349062
ACVRL1,21.96917732,26.1070497,27.6332503,36.10858984,27.88001675
ACY1,1.934899964,0.958514115,0.772122951,0.413580453,0.562050935
ACY3,0.23178976,0.248919184,0.180397779,0.151780288,0.340291915
ACYP1,7.837449451,8.2701508,8.147970289,9.347336007,7.091001093
ACYP2,9.213939333,7.134095213,6.365329439,5.734015937,5.576935927
ADA,7.519939404,8.639390986,6.799812817,6.88702263,8.701421312
ADA2,12.80497423,10.75012065,20.8847639,6.509193813,9.924959589
ADAD2,4.343616598,4.286553092,3.918772812,2.596916341,7.405959024
ADAL,3.065184271,2.114432665,2.527072211,2.440638678,2.295184982
ADAM10,12.28283547,11.68098482,12.76438051,10.61764667,12.80666516
ADAM11,0.856007189,0.864947385,0.902841664,0.796549346,1.66998371
ADAM12,3.189531126,5.044907212,2.27994554,1.877374019,1.437580101
ADAM15,100.8500691,107.0797066,102.7977539,91.93718055,104.0324033
ADAM17,21.37415336,19.97637766,21.83827192,18.13810241,25.36418767
ADAM19,4.327550986,3.12483672,3.102086024,3.703637505,4.748333706
ADAM1B,0.305449486,0.506898615,0.595874774,0.548707073,0.1338709
ADAM20P1,0.102319539,0.15185668,0.099230916,0.11314544,0.126101732
ADAM22,1.404189671,1.781423021,2.716442563,#N/A,2.154781523
ADAM23,3.324520861,2.145869822,3.347973805,5.911266517,2.670986075
ADAM28,1.833218592,1.615448393,1.626664298,0.935977555,1.379755393
ADAM32,0.316840987,0.314840353,0.389199067,0.35154883,0.277722272
ADAM33,16.54600991,22.86680979,27.4032794,30.62710436,32.2177616
ADAM7,0.043834044,0.003674286,0.017044359,0.020378339,0.074444358
ADAM8,9.006765987,6.181738638,6.026903026,2.463410227,7.27167685
ADAM9,26.5124341,27.86145994,35.08048178,31.80193863,29.58721015
ADAMDEC1,5.425577753,0.966513663,2.102460777,1.383395082,1.760267335
ADAMTS1,34.50884918,33.32030383,25.10879973,29.48725357,27.35230018
ADAMTS10,10.69950302,10.01132909,12.18428296,12.91616409,6.856674721
ADAMTS12,2.78130765,2.327488529,2.742690971,3.36177149,3.299334767
ADAMTS13,1.460509915,1.096581998,1.293299506,1.310151809,1.484543264
ADAMTS14,1.267813001,2.384497609,1.001143496,1.337265309,2.144850399
ADAMTS15,16.30543815,6.441973457,5.945576076,5.283308518,10.48645581
ADAMTS16,0.225574541,0.657677304,0.457885124,0.429631078,0.150946691
ADAMTS17,1.567837196,1.618329407,2.187505529,2.403345302,1.47312056
ADAMTS18,0.934072056,0.172134066,0.25555155,0.287543595,0.456647597
ADAMTS19,0.316364184,0.228117084,0.263576018,0.576666701,0.303857737
ADAMTS2,11.7172901,16.22856772,24.58506436,17.36231681,12.03903998
ADAMTS20,0.003164409,0.003679099,0.005756064,0.002633923,0
ADAMTS3,0.710788941,0.570502523,0.952382971,0.601578376,0.828999498
ADAMTS4,2.75919483,1.003581982,2.39184606,1.366868508,0.63586834
ADAMTS5,6.37307893,6.245382572,7.30421984,13.4399357,7.207309134
ADAMTS6,0.741149093,0.584827108,0.898935254,0.720517189,0.386934041
ADAMTS7,2.680368254,2.896466319,3.422055881,4.563894675,4.042372065
ADAMTS7P1,0.08429819,0.102240273,0.163735506,0.195728761,0.146749753
ADAMTS7P3,0.138009787,0.282317886,0.331977494,1.596853739,0.121462029
ADAMTS7P4,0.099254258,0.098934549,0.15006297,0.071422727,0.08036193
ADAMTS8,1.638438399,2.227033468,1.403128175,1.196644835,3.48318275
ADAMTS9,4.806907672,3.134146077,4.783717389,4.071479785,5.856294755
ADAMTSL1,1.554392997,1.645279727,1.751181623,0.63309862,1.734340278
ADAMTSL2,1.573197937,2.142357935,1.935014572,3.42982773,1.993720756
ADAMTSL3,1.108845462,1.909213064,2.2048904,4.000576374,1.724118983
ADAMTSL4,11.03299689,10.18398164,10.96354476,16.28768951,13.03444668
ADAMTSL5,2.184843423,1.893022059,2.230679232,3.856260255,7.522735471
ADAP1,1.352384562,1.117387855,1.425221577,0.620121591,1.000495254
ADAP2,10.23981276,9.107271286,9.261572444,8.851504075,8.888980174
ADAR,61.59853125,60.8825881,70.44819936,64.78384953,71.21415984
ADARB1,12.67390695,11.10570113,12.34400302,12.88801734,10.99533271
ADARB2,0.286572714,0.350610828,0.338690695,0.323384545,0.222242639
ADAT1,10.31559797,9.907873308,9.75457861,8.757113095,9.502479994
ADAT2,4.462971675,3.628780132,4.706928996,3.503789868,4.379123435
ADAT3,8.31801919,8.701895453,7.592198605,4.228563871,8.944359948
ADCK1,10.41907961,5.65830748,3.95675455,2.932654721,7.541295867
ADCK2,35.82568053,33.78447973,30.07330471,22.54067184,35.28327237
ADCK5,14.31343209,12.93611979,11.40960156,8.520367959,12.43808087
ADCY1,1.184132367,1.1874775,1.222048501,1.430936086,0.995728321
ADCY10,0.106577449,0.11773153,0.095930651,0.071077328,0.08932453
ADCY10P1,1.157314308,1.383179123,1.216663553,1.439926311,1.074595305
ADCY2,2.268064598,3.061340173,3.623632867,2.62984242,1.790617447
ADCY3,28.16804136,30.01238416,35.50000907,37.98571508,33.99257045
ADCY4,6.782048684,8.758385155,9.474482523,9.61024991,5.949523963
ADCY5,4.373150201,4.866784765,4.49178217,13.72073573,4.501333413
ADCY6,18.08271775,17.67749026,18.16726519,27.98399795,13.93363715
ADCY7,19.82301019,20.40974654,23.41741027,13.11634822,23.5784351
ADCY8,4.096879886,8.356595701,6.22398062,12.75733492,0.408618922
